year,Season_type,RANK,PLAYER,"['TEAM', 'GP', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'AST_TOV']"
2012-13,Playoffs,87,Kyle Korver,"['ATL', '6', '177', '19', '49', '0.388', '12', '34', '0.353', '11', '12', '0.917', '0', '20', '20', '4', '2', '4', '6', '14', '61', '0.67']"
2012-13,Playoffs,88,C.J. Watson,"['BKN', '7', '161', '24', '55', '0.436', '4', '15', '0.267', '8', '12', '0.667', '5', '12', '17', '13', '5', '1', '1', '11', '60', '13.0']"
2012-13,Playoffs,89,Cory Joseph,"['SAS', '20', '192', '26', '56', '0.464', '2', '11', '0.182', '5', '11', '0.455', '8', '23', '31', '24', '6', '2', '10', '15', '59', '2.4']"
2012-13,Playoffs,90,Darrell Arthur,"['MEM', '15', '175', '25', '53', '0.472', '0', '2', '0.0', '8', '9', '0.889', '14', '24', '38', '6', '2', '4', '7', '36', '58', '0.86']"
2012-13,Playoffs,90,Mike Miller,"['MIA', '17', '232', '21', '45', '0.467', '16', '36', '0.444', '0', '0', '0.0', '3', '30', '33', '15', '8', '2', '5', '26', '58', '3.0']"
2012-13,Playoffs,92,Monta Ellis,"['MIL', '4', '152', '24', '55', '0.436', '3', '19', '0.158', '6', '16', '0.375', '2', '11', '13', '22', '10', '1', '14', '8', '57', '1.57']"
2012-13,Playoffs,93,Pau Gasol,"['LAL', '4', '146', '25', '52', '0.481', '0', '0', '0.0', '6', '11', '0.545', '7', '39', '46', '26', '2', '3', '13', '4', '56', '2.0']"
2012-13,Playoffs,94,Gerald Green,"['IND', '9', '105', '21', '50', '0.42', '11', '33', '0.333', '2', '2', '1.0', '2', '10', '12', '3', '0', '1', '6', '10', '55', '0.5']"
2012-13,Playoffs,94,Nick Collison,"['OKC', '11', '178', '22', '47', '0.468', '0', '0', '0.0', '11', '12', '0.917', '25', '26', '51', '12', '5', '11', '10', '37', '55', '1.2']"
2012-13,Playoffs,96,Brandon Jennings,"['MIL', '4', '133', '17', '57', '0.298', '6', '28', '0.214', '13', '18', '0.722', '1', '8', '9', '16', '9', '1', '11', '6', '53', '1.46']"
2012-13,Playoffs,97,Caron Butler,"['LAC', '6', '136', '22', '46', '0.478', '4', '16', '0.25', '3', '3', '1.0', '1', '15', '16', '0', '2', '2', '6', '11', '51', '0.0']"
